"","date","allMean","sd"
"366","2018-01-28",-0.1011007,0.449696565552273
"373","2018-01-29",-0.0843476,0.417192712057917
"377","2018-01-30",0.0151834,0.418906687061021
"375","2018-01-31",-0.0351257,0.448927154190421
"374","2018-02-01",-0.0335823,0.447177033082771
"372","2018-02-02",-0.0270686,0.421719779514834
"376","2018-02-03",-0.034008,0.444878534361909
"378","2018-02-04",0.0230732,0.439605287777297
"385","2018-02-05",-0.054748,0.428346082363315
"384","2018-02-06",-0.0364214,0.434427073329966
"381","2018-02-07",-0.1020839,0.43443798734778
"383","2018-02-08",-0.0725181,0.472824737955186
"382","2018-02-09",-0.0899647,0.469017159626287
"379","2018-02-10",-0.1122153,0.449061801131993
"380","2018-02-11",-0.0872133,0.465404677235962
"392","2018-02-12",-0.0939671,0.422212759550905
"388","2018-02-13",-0.0411821,0.406688663389564
"386","2018-02-14",-0.0656141,0.440172802511911
"391","2018-02-15",-0.1055689,0.444957320226098
"387","2018-02-16",-0.0630238,0.41293696079857
"389","2018-02-17",-0.0264326,0.429442205863886
"390","2018-02-18",-0.094794,0.433877823268256
"395","2018-02-19",-0.0928977,0.418596645883254
"394","2018-02-20",-0.0827435,0.461503439941405
"393","2018-02-21",-0.0693656,0.4279906677448
"398","2018-02-22",-0.0657248,0.41348199122206
"397","2018-02-23",-0.0544922,0.408611168617746
"396","2018-02-24",-0.0239958,0.394773625236489
"399","2018-02-25",0.00336320000000001,0.434089643859146
"405","2018-02-26",0.0139056,0.416915029003081
"404","2018-02-27",-0.0047642,0.399228242811502
"403","2018-02-28",0.0179836,0.421345318795688
"402","2018-03-01",-0.0326135,0.402206181463873
"400","2018-03-02",-0.0886218,0.421819764525988
"401","2018-03-03",-0.1171231,0.441047789470019
"406","2018-03-04",-0.0130127,0.454414311073837
"412","2018-03-05",-0.0645469,0.420639914357149
"407","2018-03-06",-0.0646507,0.438210328129666
"411","2018-03-07",-0.0469374,0.412740896061003
"408","2018-03-08",-0.0400864,0.430252064463426
"409","2018-03-09",-0.0216134,0.427414131072476
"413","2018-03-10",0.0747301,0.431752075761067
"410","2018-03-11",0.0026765,0.459370528460142
"416","2018-03-12",-0.0480545,0.42318795320726
"418","2018-03-13",-0.0543106,0.443422429346599
"420","2018-03-14",-0.0040475,0.430225049147246
"415","2018-03-15",-0.0428454,0.424942295751835
"417","2018-03-16",-0.0988922,0.418764420789493
"414","2018-03-17",-0.116853,0.42268584879435
"419","2018-03-18",-0.0579776,0.427142048478302
"426","2018-03-19",-0.0157489,0.456049788355164
"423","2018-03-20",-0.0482708,0.43583970818107
"422","2018-03-21",-0.0536729,0.440062360394058
"425","2018-03-22",-0.0650146,0.45461145965191
"427","2018-03-23",-0.0554686,0.423087815156665
"424","2018-03-24",-0.0134976,0.407950764080961
"421","2018-03-25",-0.0470918,0.444286343176065
"430","2018-03-26",-0.0429574,0.444866121867287
"433","2018-03-27",-0.0287996,0.426347494773735
"432","2018-03-28",0.0028686,0.404706067972844
"429","2018-03-29",-0.0426321,0.455617865496504
"431","2018-03-30",-0.0334864,0.446237579003651
"434","2018-03-31",-0.05116,0.469266859963497
"428","2018-04-01",-0.0136789,0.439780248857074
"438","2018-04-02",-0.0588271,0.443415002582896
"441","2018-04-03",-0.0873048,0.426380830311308
"440","2018-04-04",-0.0192809,0.438994197894676
"439","2018-04-05",-0.0722781,0.448083034504086
"435","2018-04-06",-0.0459393,0.461809942168323
"437","2018-04-07",-0.1237515,0.451012594101041
"436","2018-04-08",-0.145288,0.446285282432661
"448","2018-04-09",-0.1197148,0.413708757510595
"447","2018-04-10",-0.0686657,0.442146514645892
"443","2018-04-11",-0.011683,0.426051208367022
"445","2018-04-12",-0.0348353,0.429015890339635
"444","2018-04-13",-0.0114807,0.421328646186691
"446","2018-04-14",-0.0583458,0.485010405952656
"442","2018-04-15",-0.0693023,0.441737114565564
"455","2018-04-16",-0.0102045,0.417571177010279
"454","2018-04-17",-0.0557892,0.430305610355431
"449","2018-04-18",-0.0539086,0.423381596182498
"451","2018-04-19",0.0472456,0.422264424550115
"450","2018-04-20",-0.0266587,0.418813355116942
"453","2018-04-21",-0.0183248,0.421664611136576
"452","2018-04-22",0.0063502,0.457457572305848
"457","2018-04-25",0.0434371,0.431632487022919
"456","2018-04-26",0.0275156,0.485054360145994
"461","2018-04-27",0.0368636,0.426942801245132
"462","2018-04-28",0.034313,0.451487834510521
