president,subgroup,modeldate,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo,timestamp
Donald Trump,Voters,4/2/2018,41.64708,45.84618,37.44798,53.63681,57.47157,49.80206,4/2/2018 19:48
Donald Trump,Adults,4/2/2018,39.87597,43.38846,36.36348,53.67165,57.90841,49.43489,4/2/2018 19:48
Donald Trump,All polls,4/2/2018,40.62948,45.06592,36.19304,53.48064,57.56409,49.39719,4/2/2018 19:48
Donald Trump,Adults,4/1/2018,39.94889,43.50609,36.39169,53.5807,57.92394,49.23745,4/2/2018 9:03
Donald Trump,Voters,4/1/2018,41.3702,45.29608,37.44432,53.74371,57.38545,50.10198,4/2/2018 9:04
Donald Trump,All polls,4/1/2018,40.54322,44.73767,36.34878,53.42228,57.44325,49.4013,4/2/2018 9:02
Donald Trump,Adults,3/31/2018,39.94889,43.50609,36.39169,53.5807,57.92394,49.23745,4/2/2018 9:03
Donald Trump,All polls,3/31/2018,40.54322,44.73767,36.34878,53.42228,57.44325,49.4013,4/2/2018 9:03
Donald Trump,Voters,3/31/2018,41.3702,45.29608,37.44432,53.74371,57.38545,50.10198,4/2/2018 9:04
Donald Trump,Voters,3/30/2018,41.3702,45.29608,37.44432,53.74371,57.38545,50.10198,3/30/2018 13:44
Donald Trump,Adults,3/30/2018,39.94889,43.50609,36.39169,53.5807,57.92394,49.23745,3/30/2018 13:44
Donald Trump,All polls,3/30/2018,40.54322,44.73767,36.34878,53.42228,57.44325,49.4013,3/30/2018 13:44
Donald Trump,Voters,3/29/2018,41.06978,44.98177,37.15779,53.94359,57.66401,50.22318,3/29/2018 18:08
Donald Trump,Adults,3/29/2018,39.58919,43.18702,35.99136,53.80489,58.26278,49.34699,3/29/2018 18:08
Donald Trump,All polls,3/29/2018,40.21669,44.3978,36.03558,53.6349,57.7447,49.5251,3/29/2018 18:08
Donald Trump,Adults,3/28/2018,39.53133,43.07762,35.98504,53.80369,58.28436,49.32302,3/28/2018 11:52
Donald Trump,Voters,3/28/2018,41.04078,44.94934,37.13221,54.00505,57.75474,50.25537,3/28/2018 11:52
Donald Trump,All polls,3/28/2018,40.19111,44.36089,36.02133,53.63828,57.76783,49.50874,3/28/2018 11:52
Donald Trump,Voters,3/27/2018,41.54846,45.53931,37.55761,53.70638,57.55792,49.85484,3/27/2018 21:41
Donald Trump,Adults,3/27/2018,39.58513,43.17094,35.99932,54.15356,58.36164,49.94549,3/27/2018 21:41
Donald Trump,All polls,3/27/2018,40.46638,44.68826,36.2445,53.6646,57.67343,49.65577,3/27/2018 21:41
Donald Trump,Adults,3/26/2018,40.08774,43.74665,36.42882,53.9929,58.05314,49.93266,3/26/2018 16:24
